Expenses,Category,Amount,,,,
Mortgage,Housing,800.15,,,,
HOA,Housing,580.64,,,,
Rent,Housing,552,,,,
Condo Repairs,Housing,400,,,,
Property Tax,Housing,92,,,,
Home Insurance,Housing,85.08,,,,
Rental License,Housing,7,,,,
Savings  from Checking,Savings,25,,,,
Savings to Vanguard,Savings,1000,,,,
Groceries,Food,400,,,,
Gas,Car,30,,,,
Car Repair and Wash,Car,70,,,,
Car Insurance,Car,91.67,,,,
Rotating Tires,Car,5,,,,
AAA Membership,Car,7.5,,,,
Car Registration,Car,30,,,,
Parking and Tolls,Car,10,,,,
Entertainment/Shopping,Entertainment,400,,,,
Travel,Entertainment,166,,,,
WD Tax,Non-profit,30,,,,
Bank Fee,Non-profit,6,,,,
Donation,Non-profit,15,,,,
Forward Email,Non-profit,3,,,,
DigitalOcean,Non-profit,12,,,,
Porkbun,Non-profit,10.72,,,,
Stripe,Non-profit,5,,,,
Health Insurance,Healthcare,325.19,,,,
Dental ,Healthcare,9.11,,,,
Health Appointments,Healthcare,50,,,,
Amazon web services,Subscriptions,2.87,,,,
Avail,Subscriptions,7,,,,
5k App,Subscriptions,3.33,,,,
All Trails,Subscriptions,40,,,,
YouTube App,Subscriptions,15.23,,,,
Heroku,Subscriptions,26,,,,
LearnEnough,Subscriptions,10,,,,
Apple ,Subscriptions,2.99,,,,
BackBlaze,Subscriptions,9,,,,
1Password,Subscriptions,2.99,,,,
Costco,Subscriptions,10,,,,
Gifts,Gifts,33,,,,
CDR,CDR,5.8,,,,
Continuing Ed,CDR,10,,,,
Hair and Makeup,Hair and Makeup,50,,,,
Gym,Gym,50,,,,
Income Tax ,Income Tax ,120,,,,